code,product_name,categories_tags,energy_100g,fat_100g,saturated-fat_100g,sugars_100g,salt_100g,sodium_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-estimate_100g,fiber_100g,proteins_100g
0000000001281,Tarte noix de coco,"en:pies,en:sweet-pies,en:coconut-pies",1594.0,22.0,15.5,21.9,0.1,0.0393700787401575,,31.95,4.4,4.6
0000000001885,Compote de poire,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:desserts,en:fruits-based-foods,en:compotes,fr:compotes-de-poire",657.0,0.0,0.0,27.0,0.0,0.0,,99.9,3.6,0.6
0000000005470,BAguette bressan,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:baguettes",669.0,2.2,0.5,0.6,0.358,0.140944881889764,,0.0,1.6,9.5
0000000005661,Pavé de saumon fumé à la ficelle,"en:seafood,en:fishes,en:salmons,en:smoked-fishes,en:smoked-salmons,fr:paves-de-saumon,fr:paves-de-saumon-fume",1059.0,17.0,2.6,0.5,2.5,0.9842519685039368,,0.0,0.0,23.0
0000000020114,Naturablue original,en:dietary-supplements,0.0,0.0,0.0,0.0,0.3,0.118110236220472,,4.1,3.33,0.0
0000000125512,Stylo glaçage gris,en:food-decorations,2427.0,38.0,36.0,58.0,0.5,0.19685039370078694,,19.8,0.15000000000000002,3.0
0000000274722,Blanquette de Volaille et son Riz,"en:meals,en:meat-based-products,en:meals-with-meat,en:poultry-meals,en:microwave-meals,en:turkey-dishes",450.0,2.2,0.9,0.5,0.7,0.275590551181102,,7.2,0.5,6.8
0000000274739,Raviolini au Fromage de chèvre et Pesto,"en:meals,en:microwave-meals",455.0,4.2,2.1,1.4,0.6,0.23622047244094505,,20.2,1.8,4.4
0000000290616,Salade Cesar,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:leaf-vegetables",1210.0,12.0,7.0,0.0,2.16,0.85,,100.0,2.0,22.0
0000000394710,Danoises à la cannelle roulées,"en:sugary-snacks,en:biscuits-and-cakes,en:pastries",1520.0,14.4,9.0,28.1,0.922,0.363,,26.5,2.05,4.79
